# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 20 23:36:17 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '%KOI%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
KOI-12 b,KOI-12,1,2,Transit,2015,Kepler,0,17.85518200000,0.00000800000,-0.00000600000,0,0.1540000000,0.0040000000,-0.0030000000,0,13.78707000,0.67254000,-0.56045000,0,1.23000000,0.06000000,-0.05000000,0,349.61300000,1112.40500000,-254.26400000,0,1.10000000,3.50000000,-0.80000000,0,Mass,0.340000,0.080000,-0.070000,0,196.5070,5.4480,-5.3010,0,911.00,,,0,1,,6635.00,71.00,-71.00,0,1.400000,0.070000,-0.060000,0,1.500000,0.100000,-0.100000,0,0.0815,0.0089,-0.0089,0,[M/H],4.308000,0.024000,-0.128000,0,19h49m48.90s,297.4537402,+41d00m39.67s,41.0110188,399.39800000,4.39600000,-4.30300000,11.5100000,0.0140000,-0.0140000,10.2340000,0.0180000,-0.0180000,11.2535000,0.0005230,-0.0005230
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,0,86.64766100000,0.00003400000,-0.00003400000,0,0.3820000000,0.0060000000,-0.0060000000,0,10.54000000,1.35000000,-1.35000000,0,0.94000000,0.12000000,-0.12000000,0,460.83000000,111.24000000,-111.24000000,0,1.45000000,0.35000000,-0.35000000,0,Mass,0.772000,0.045000,-0.045000,0,7.2800,2.7300,-2.2200,0,511.00,50.00,-50.00,0,0,G5 V,5520.00,80.00,-80.00,0,1.130000,0.140000,-0.140000,0,0.990000,0.050000,-0.050000,0,0.2700,0.0900,-0.0900,0,[Fe/H],4.320000,0.100000,-0.100000,0,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,656.00000000,55.66500000,-39.92600000,14.8180000,0.0690000,-0.0690000,12.7260000,0.0230000,-0.0230000,14.6419000,0.0004900,-0.0004900
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,0,1.76358800000,0.00000100000,-0.00000100000,0,0.0364100000,0.0008700000,-0.0008700000,0,16.94800800,0.39231500,-0.39231500,0,1.51200000,0.03500000,-0.03500000,0,2949.46240000,50.85280000,-50.85280000,0,9.28000000,0.16000000,-0.16000000,0,Mass,0.000640,0.000120,-0.000160,0,25339.9010,3035.3040,-2595.9390,0,2550.00,80.00,-80.00,0,1,,7986.07,177.20,-177.20,0,1.756000,0.014000,-0.014000,0,1.670000,0.074000,-0.096000,0,0.2000,0.2000,-0.2000,0,[Fe/H],4.060000,0.124000,-0.084000,0,19h07m53.13s,286.9713876,+46d52m05.69s,46.8682463,519.09600000,30.70300000,-27.50600000,9.7910000,0.0230000,-0.0230000,9.4250000,0.0140000,-0.0140000,10.3678000,0.0012250,-0.0012250
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,0,10.91647000000,0.00014000000,-0.00014000000,0,0.0958600000,0.0008000000,-0.0008000000,0,3.43800000,0.07500000,-0.07500000,0,0.30671782,0.00669105,-0.00669105,0,9.50000000,1.10000000,-1.10000000,0,0.03000000,0.00360000,-0.00360000,0,Mass,0.055610,0.000130,-0.000130,0,68.5630,1.4170,-1.3900,0,758.00,,,0,1,G6 V,5466.00,60.00,-60.00,0,0.897000,0.016000,-0.016000,0,0.990000,0.023000,-0.023000,0,0.2700,0.0600,-0.0600,0,[Fe/H],4.528000,0.025000,-0.019000,0,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,376.86300000,2.01000000,-1.99100000,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750
KOI-142 c,KOI-142,1,3,Transit Timing Variations,2013,Kepler,0,22.26492000000,0.00067000000,-0.00067000000,0,0.1541210030,,,0,14.00000000,,,0,1.25000000,,,0,214.10000000,5.20000000,-5.20000000,0,0.67400000,0.01600000,-0.01600000,0,Mass,0.057240,0.000450,-0.000450,0,,,,,,,,,0,G6 V,5466.00,60.00,-60.00,0,0.897000,0.016000,-0.016000,0,0.990000,0.023000,-0.023000,0,0.2700,0.0600,-0.0600,0,[Fe/H],4.528000,0.025000,-0.019000,0,19h24m35.54s,291.1481028,+40d40m09.89s,40.6694130,376.86300000,2.01000000,-1.99100000,13.2090000,0.1260000,-0.1260000,11.4540000,0.0190000,-0.0190000,13.1048000,0.0002750,-0.0002750
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,0,20.44150000000,0.00130000000,-0.00130000000,0,0.1472800000,,,0,1.90000000,0.30000000,-0.30000000,0,0.16950665,0.02676421,-0.02676421,0,4.60000000,0.30000000,-0.30000000,0,0.01447315,0.00094390,-0.00094390,0,Mass,0.014000,,,0,44.8000,39.4000,-13.5800,0,660.00,,,0,1,,5833.00,122.00,-122.00,0,0.972000,,,0,1.020000,,,0,0.0600,0.2000,-0.3000,0,[Fe/H],4.472000,0.052000,-0.208000,0,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,1131.64000000,28.17000000,-26.86000000,14.7950000,0.1260000,-0.1260000,13.2380000,0.0310000,-0.0310000,14.8540000,0.0003280,-0.0003280
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,0,13.60880000000,0.00060000000,-0.00060000000,0,0.1122930000,,,0,1.90000000,0.20000000,-0.20000000,0,0.16950665,0.01784280,-0.01784280,0,9.00000000,0.30000000,-0.30000000,0,0.02831702,0.00094390,-0.00094390,0,Mass,0.011400,,,0,76.8100,67.5400,-23.2800,0,755.00,,,0,1,,5833.00,122.00,-122.00,0,0.972000,,,0,1.020000,,,0,0.0600,0.2000,-0.3000,0,[Fe/H],4.472000,0.052000,-0.208000,0,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,1131.64000000,28.17000000,-26.86000000,14.7950000,0.1260000,-0.1260000,13.2380000,0.0310000,-0.0310000,14.8540000,0.0003280,-0.0003280
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,0,134.46280000000,0.00330000000,-0.00350000000,0,0.5266100000,0.0055400000,-0.0055400000,0,8.86000000,0.25000000,-0.24000000,0,0.79043626,0.02230351,-0.02141137,0,71.00000000,11.20000000,-9.20000000,0,0.22338986,0.03523896,-0.02894629,0,Mass,0.000000,,,0,5.7000,0.2700,-0.2700,0,412.00,,,0,1,,5922.00,60.00,-60.00,0,1.143000,0.031000,-0.030000,0,1.076000,0.036000,-0.032000,0,0.1100,0.0400,-0.0400,0,[Fe/H],4.300000,0.100000,-0.100000,0,19h17m21.95s,289.3414629,+46d59m17.36s,46.9881550,865.73000000,13.73400000,-13.32000000,13.9780000,0.0800000,-0.0800000,12.6210000,0.0200000,-0.0200000,13.9061000,0.0002470,-0.0002470
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,0,284.21500000000,0.02600000000,-0.02100000000,0,0.8669500000,0.0092000000,-0.0092000000,0,5.44000000,0.52000000,-0.30000000,0,0.48532429,0.04639129,-0.02676421,0,15.00000000,4.30000000,-3.60000000,0,0.04719504,0.01352925,-0.01132681,0,Mass,0.000000,,,0,2.4900,0.3500,-0.3500,0,321.00,,,0,1,,5922.00,60.00,-60.00,0,1.143000,0.031000,-0.030000,0,1.076000,0.036000,-0.032000,0,0.1100,0.0400,-0.0400,0,[Fe/H],4.300000,0.100000,-0.100000,0,19h17m21.95s,289.3414629,+46d59m17.36s,46.9881550,865.73000000,13.73400000,-13.32000000,13.9780000,0.0800000,-0.0800000,12.6210000,0.0200000,-0.0200000,13.9061000,0.0002470,-0.0002470
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,0,34.16900000000,,,0,0.1992400000,0.0016300000,-0.0016300000,0,1.13000000,0.05000000,-0.05000000,0,0.10081202,0.00446071,-0.00446071,0,2.23000000,0.50000000,-0.84000000,0,0.00701636,0.00157318,-0.00264294,0,Mass,0.000000,,,0,11.8000,0.9000,-0.9000,0,475.00,9.00,-9.00,0,0,,5233.00,60.00,-60.00,0,0.835000,0.023000,-0.022000,0,0.901000,0.017000,-0.027000,0,0.1800,0.0400,-0.0400,0,[Fe/H],4.530000,0.044000,-0.055000,0,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.57400000,3.68100000,-3.62900000,14.2220000,0.0690000,-0.0690000,12.2910000,0.0250000,-0.0250000,14.0909000,0.0002170,-0.0002170
